CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
1,Male,46,61,50
2,Male,41,31,5
3,Male,40,27,1
4,Female,22,119,83
5,Female,33,83,95
6,Male,38,44,65
7,Female,27,19,77
8,Female,51,96,18
9,Female,57,93,17
10,Male,30,20,65
11,Female,30,31,84
12,Female,50,96,15
13,Female,60,111,29
14,Female,26,23,68
15,Female,58,92,16
16,Male,45,83,5
17,Female,22,26,80
18,Female,30,73,80
19,Male,35,65,50
20,Male,29,17,70
21,Female,29,75,76
22,Female,37,20,23
23,Male,38,83,82
24,Female,28,45,47
25,Female,28,28,79
26,Female,32,20,64
27,Female,43,60,50
28,Male,22,31,87
29,Male,36,95,71
30,Male,23,78,83
31,Female,49,15,25
32,Female,38,27,20
33,Male,26,30,82
34,Female,22,32,87
35,Male,25,85,84
36,Female,48,48,57
37,Female,28,80,86
38,Male,33,78,80
39,Female,52,94,33
40,Male,25,31,97
41,Male,28,30,76
42,Female,30,89,18
43,Female,34,26,31
44,Male,41,30,18
45,Male,32,67,69
46,Male,46,77,9
47,Male,43,21,19
48,Female,34,31,18
49,Female,38,90,87
50,Female,42,58,53
51,Male,51,43,53
52,Male,47,83,30
53,Male,43,21,15
54,Female,26,92,77
55,Male,41,53,45
56,Female,22,48,83
57,Female,44,108,89
58,Male,41,55,50
59,Female,49,89,4
60,Male,44,60,51
61,Male,46,80,17
62,Male,38,60,44
63,Female,60,34,20
64,Female,47,21,13
65,Male,35,30,23
66,Male,50,67,54
67,Male,28,23,76
68,Female,40,76,18
69,Female,53,48,49
70,Male,41,87,74
71,Female,20,25,71
72,Female,31,79,73
73,Male,55,91,12
74,Male,24,34,78
75,Female,40,57,43
76,Male,43,57,51
77,Male,36,25,39
78,Female,32,76,71
79,Male,38,56,62
80,Male,46,51,46
81,Male,50,24,35
82,Female,26,29,88
83,Female,19,19,85
84,Male,45,107,16
85,Female,45,103,24
86,Male,38,53,48
87,Female,43,99,20
88,Male,47,26,20
89,Male,33,70,16
90,Male,27,26,81
91,Female,46,18,17
92,Female,43,88,97
93,Female,48,50,58
94,Male,37,34,45
95,Male,41,23,30
96,Male,51,91,16
97,Female,32,99,88
98,Female,58,22,29
99,Female,48,31,22
100,Female,22,92,81
101,Female,43,16,12
102,Female,45,25,21
103,Male,31,81,71
104,Male,40,86,78
105,Female,38,57,45
106,Male,36,87,77
107,Male,41,27,21
108,Male,20,25,75
109,Female,42,51,44
110,Female,26,94,77
111,Male,28,90,31
112,Male,49,29,18
113,Female,50,89,18
114,Female,36,102,75
115,Female,28,28,76
116,Male,32,87,84
117,Male,21,27,74
118,Male,26,29,99
119,Female,39,84,22
120,Male,40,27,23
121,Female,22,25,74
122,Male,36,48,43
123,Male,32,86,88
124,Male,42,94,86
125,Female,46,33,24
126,Female,34,18,12
127,Female,55,97,16
128,Male,36,96,75
129,Male,42,62,49
130,Male,47,15,28
131,Male,53,83,10
132,Female,26,28,67
133,Female,41,64,52
134,Female,41,104,77
135,Female,20,41,81
136,Female,39,82,75
137,Female,57,23,15
138,Male,44,52,51
139,Female,26,16,85
140,Female,40,93,75
141,Female,51,84,8
142,Male,44,85,25
143,Female,45,102,6
144,Male,28,29,89
145,Female,50,62,57
146,Female,52,15,18
147,Female,51,31,23
148,Male,47,57,33
149,Female,33,72,53
150,Female,45,55,42
151,Female,51,98,10
152,Female,45,92,8
153,Male,47,60,62
154,Female,41,27,15
155,Female,30,29,17
156,Female,22,27,85
157,Female,43,79,27
158,Female,25,98,94
159,Male,48,23,23
160,Male,24,28,94
161,Male,50,91,15
162,Male,34,83,94
163,Male,42,90,14
164,Male,65,79,31
165,Female,28,18,87
166,Female,26,22,74
167,Male,46,50,44
168,Male,20,28,81
169,Female,55,112,39
170,Female,26,26,97
171,Male,26,24,76
172,Male,43,56,54
173,Male,43,24,16
174,Female,26,18,75
175,Male,56,73,22
176,Male,48,95,33
177,Female,35,77,89
178,Female,29,23,8
179,Female,24,91,74
180,Male,61,87,27
181,Male,44,26,24
182,Female,27,20,74
183,Male,21,82,75
184,Male,36,87,82
185,Female,20,65,82
186,Female,37,54,44
187,Female,39,48,54
188,Male,46,49,58
189,Male,39,54,43
190,Female,21,28,70
191,Female,28,88,74
192,Male,54,95,18
193,Male,57,22,6
194,Male,32,80,1
195,Female,33,28,75
196,Male,48,58,68
197,Male,31,31,16
198,Female,57,47,56
199,Female,45,78,19
200,Male,44,63,67
